asset.name,asset.operating_systems,compliance.audit_description,compliance.audit_file,compliance.audit_name,compliance.audit_see_also,compliance.audit_solution,compliance.info,compliance.references,compliance_result,definition.id,definition.output,definition.synopsis,first_seen,id,last_fixed,last_observed,original_compliance_result
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1206, Sem credenciais cloud locais",,Usar AWS SSO/STS e Azure device login/Managed Identity; remover long-lived keys.,Nao deve haver access keys permanentes em arquivos locais.,,PASSED,21157,"The command 'sh -c 'grep -RE ""aws_access_key_id|aws_secret_access_key|client_secret|AZURE_CLIENT_SECRET"" /home/*/.aws /home/*/.azure 2>/dev/null | grep -q . && echo FAIL || echo PASS'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,2dfa4718-5e0b-543e-944a-380c188b71ad,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"109, su restrito com pam_wheel",,Adicionar pam_wheel.so com grupo administrativo aprovado em /etc/pam.d/su.,Somente operadores aprovados podem usar su.,,PASSED,21157,"The command 'grep -E '^[[:space:]]*auth[[:space:]]+required[[:space:]]+pam_wheel\.so.*group=vdi-admins' /etc/pam.d/su 2>/dev/null' returned : 

auth required pam_wheel.so use_uid group=vdi-admins",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,2e3f1a2f-0d64-5d1c-84f3-7895ef35f346,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"510, Disable ptrace para usuarios comuns",,Configurar kernel.yama.ptrace_scope >= 1.,ptrace deve ser restrito.,,PASSED,21157,"The command 'sh -c 'v=$(sysctl -n kernel.yama.ptrace_scope 2>/dev/null); [ ""${v:-0}"" -ge 1 ] && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,2eefc931-a299-5637-9a90-5e1ef90a6c26,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1003, rsyslog ativo",,Instalar e habilitar rsyslog.,rsyslog deve estar ativo para logs classicos.,,PASSED,21157,"The command 'sh -c 'systemctl is-active rsyslog >/dev/null 2>&1 && systemctl is-enabled rsyslog >/dev/null 2>&1 && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,3422002e-1797-58e5-9b3d-d319f4d11a03,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"805, ASLR ativo",,Configurar kernel.randomize_va_space=2.,ASLR completo dificulta exploracao.,,PASSED,21157,"The command 'sysctl -n kernel.randomize_va_space' returned : 

2",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,38d42598-ff64-5ccf-8689-d84e24bd9e60,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"403, Audit npm node_modules install",,Adicionar regra auditd para caches npm/node_modules por home ou registrar excecao operacional.,Instalacoes npm devem ser rastreaveis.,,FAILED,21157,"The command 'sh -c 'grep -RE ""\.npm|node_modules|npm_install"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,3b48666a-d47b-5ac5-85de-023c2177232a,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"902, Audit failed execve syscalls",,Adicionar regra auditd para execve com EACCES/EPERM.,Execucoes negadas devem ser auditadas.,,FAILED,21157,"The command 'sh -c 'grep -RE ""execve.*(EACCES|EPERM)|(EACCES|EPERM).*execve"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,3c947400-e506-5a35-bee7-8563ebb68aa4,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1005, SSH ativo com PasswordAuthentication=no",,Habilitar ssh apenas se necessario e manter PasswordAuthentication no.,"Quando SSH for usado, deve aceitar somente chave publica.",,PASSED,21157,"The command 'sh -c 'if systemctl is-enabled ssh >/dev/null 2>&1; then sshd -T 2>/dev/null | grep -Eiq ""^passwordauthentication[[:space:]]+no$"" && echo PASS || echo FAIL; else echo PASS; fi'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,40aae86c-196b-5d95-9fd5-e5b16b3fcec5,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"203, Audit ~/.ssh/authorized_keys changes",,Gerar regras auditd por home para .ssh/authorized_keys ou diretorio .ssh.,Alteracoes em authorized_keys devem ser auditadas.,,PASSED,21157,"The command 'sh -c 'grep -RE -- ""-w[[:space:]]+/home/.*/\.ssh([[:space:]]|/authorized_keys).*-[p][[:space:]]*wa|ssh_keys"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,486a0449-24ab-5d55-a004-dc8a65166cde,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1007, libpam-pwquality instalado",,Instalar libpam-pwquality e configurar pwquality.conf.,Complexidade de senha deve ser validada quando houver senha local.,,PASSED,21157,"The command 'sh -c 'dpkg -s libpam-pwquality >/dev/null 2>&1 && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,4aa7a75b-4fb6-5341-b959-68abd46b5edd,,2026-05-26T22:32:29.788Z,PASSED
